,MSA,Year,Total,Estimated,Rate
124,"Anchorage, AK ",2006,17,17,5.8
125,"Anchorage, AK ",2007,22,22,7.2
126,"Anchorage, AK ",2008,10,10,3.3
127,"Anchorage, AK ",2009,14,14,4.6
128,"Anchorage, AK ",2010,13,13,4.2
129,"Anchorage, AK ",2011,13,13,4.2
130,"Anchorage, AK ",2012,15,15,4.8
131,"Anchorage, AK ",2013,15,15,4.8
132,"Anchorage, AK ",2014,13,13,4.1
133,"Anchorage, AK ",2015,26,26,8.2
134,"Anchorage, AK ",2016,28,28,8.9
135,"Anderson, IN ",2007,4,4,3.1
136,"Anderson, IN ",2009,1,1,0.8
137,"Anderson, IN ",2010,3,3,2.3
138,"Anderson, SC ",2006,18,18,10.1
139,"Anderson, SC ",2007,5,5,2.8
140,"Anderson, SC ",2008,18,18,9.9
141,"Anderson, SC ",2009,9,9,4.8
142,"Anderson, SC ",2010,10,10,5.3
143,"Anderson, SC ",2011,15,15,7.9
144,"Ann Arbor, MI ",2006,9,9,2.6
145,"Ann Arbor, MI ",2007,6,6,1.7
146,"Ann Arbor, MI ",2008,11,11,3.1
147,"Ann Arbor, MI ",2009,6,6,1.7
148,"Ann Arbor, MI ",2010,5,5,1.4
149,"Ann Arbor, MI ",2011,8,8,2.3
150,"Ann Arbor, MI ",2012,5,5,1.4
151,"Ann Arbor, MI ",2013,11,11,3.1
152,"Ann Arbor, MI ",2014,5,5,1.4
153,"Ann Arbor, MI ",2015,7,7,1.9
154,"Ann Arbor, MI ",2016,2,2,0.6
155,"Anniston-Oxford, AL ",2009,6,6,5.3
156,"Anniston-Oxford, AL ",2010,6,6,5.2
157,"Anniston-Oxford, AL ",2011,14,14,11.8
158,"Anniston-Oxford-Jacksonville, AL ",2012,6,6,5.1
159,"Anniston-Oxford-Jacksonville, AL ",2013,8,8,6.8
160,"Anniston-Oxford-Jacksonville, AL ",2014,7,7,6
161,"Anniston-Oxford-Jacksonville, AL ",2015,10,10,8.7
162,"Anniston-Oxford-Jacksonville, AL ",2016,8,8,7
163,"Appleton, WI ",2006,2,2,0.9
164,"Appleton, WI ",2007,1,1,0.5
165,"Appleton, WI ",2008,2,2,0.9
166,"Appleton, WI ",2009,3,3,1.4
167,"Appleton, WI ",2010,0,0,0
168,"Appleton, WI ",2011,2,2,0.9
169,"Appleton, WI ",2012,1,1,0.4
170,"Appleton, WI ",2013,1,1,0.4
171,"Appleton, WI ",2014,0,0,0
172,"Appleton, WI ",2015,1,1,0.4
173,"Appleton, WI ",2016,4,4,1.7
174,"Arecibo, Puerto Rico ",2012,39,39,19.8
175,"Arecibo, Puerto Rico ",2013,27,27,13.8
176,"Arecibo, Puerto Rico ",2014,17,17,8.9
177,"Arecibo, Puerto Rico ",2015,13,13,6.9
178,"Arecibo, Puerto Rico ",2016,10,10,5.4
179,"Asheville, NC ",2006,11,11,2.7
180,"Asheville, NC ",2007,21,21,5.2
181,"Asheville, NC ",2008,9,9,2.2
182,"Asheville, NC ",2009,11,11,2.7
183,"Asheville, NC ",2010,8,8,1.9
184,"Asheville, NC ",2011,12,12,2.8
185,"Asheville, NC ",2012,20,20,4.6
186,"Asheville, NC ",2014,13,13,2.9
187,"Asheville, NC ",2015,12,12,2.7
188,"Asheville, NC ",2016,23,23,5.1
189,"Athens-Clarke County, GA ",2006,7,9,5
190,"Athens-Clarke County, GA ",2007,10,12,6.4
191,"Athens-Clarke County, GA ",2008,3,5,2.6
