,MSA,Year,Total,Estimated,Rate
504,"Bridgeport-Stamford-Norwalk, CT ",2015,23,23,2.5
505,"Bridgeport-Stamford-Norwalk, CT ",2016,14,14,1.5
506,"Brownsville-Harlingen, TX ",2006,12,12,3.1
507,"Brownsville-Harlingen, TX ",2007,16,16,4
508,"Brownsville-Harlingen, TX ",2008,13,13,3.3
509,"Brownsville-Harlingen, TX ",2009,8,8,2
510,"Brownsville-Harlingen, TX ",2010,11,11,2.7
511,"Brownsville-Harlingen, TX ",2011,8,8,1.9
512,"Brownsville-Harlingen, TX ",2012,13,13,3.1
513,"Brownsville-Harlingen, TX ",2013,6,6,1.4
514,"Brownsville-Harlingen, TX ",2014,5,5,1.2
515,"Brownsville-Harlingen, TX ",2015,7,7,1.6
516,"Brownsville-Harlingen, TX ",2016,8,8,1.9
517,"Brunswick, GA ",2006,4,5,4.9
518,"Brunswick, GA ",2007,20,20,19.7
519,"Brunswick, GA ",2009,16,16,15.5
520,"Brunswick, GA ",2010,6,6,5.9
521,"Brunswick, GA ",2011,7,7,6.1
522,"Brunswick, GA ",2012,8,8,7
523,"Brunswick, GA ",2013,7,7,6.2
524,"Brunswick, GA ",2014,6,6,5.2
525,"Brunswick, GA ",2015,3,3,2.6
526,"Brunswick, GA ",2016,5,5,4.3
527,"Buffalo-Cheektowaga-Niagara Falls, NY ",2012,54,54,4.7
528,"Buffalo-Cheektowaga-Niagara Falls, NY ",2013,59,59,5.2
529,"Buffalo-Cheektowaga-Niagara Falls, NY ",2014,72,72,6.3
530,"Buffalo-Cheektowaga-Niagara Falls, NY ",2015,50,50,4.4
531,"Buffalo-Cheektowaga-Niagara Falls, NY ",2016,55,55,4.9
532,"Buffalo-Niagara Falls, NY ",2006,86,86,7.5
533,"Buffalo-Niagara Falls, NY ",2007,60,60,5.3
534,"Buffalo-Niagara Falls, NY ",2008,44,44,3.9
535,"Buffalo-Niagara Falls, NY ",2009,75,75,6.7
536,"Buffalo-Niagara Falls, NY ",2010,67,67,6.1
537,"Buffalo-Niagara Falls, NY ",2011,45,45,3.9
538,"Burlington, NC ",2006,6,6,4.2
539,"Burlington, NC ",2007,9,9,6.2
540,"Burlington, NC ",2008,4,4,2.7
541,"Burlington, NC ",2009,4,4,2.7
542,"Burlington, NC ",2010,9,9,5.9
543,"Burlington, NC ",2011,3,3,2
544,"Burlington, NC ",2012,4,4,2.6
545,"Burlington, NC ",2013,3,3,1.9
546,"Burlington, NC ",2014,3,3,1.9
547,"Burlington, NC ",2015,8,8,5.1
548,"Burlington, NC ",2016,11,11,6.9
549,"Burlington-South Burlington, VT ",2007,4,4,1.9
550,"Burlington-South Burlington, VT ",2008,1,1,0.5
551,"Burlington-South Burlington, VT ",2009,1,1,0.5
552,"Burlington-South Burlington, VT ",2015,2,2,0.9
553,"California-Lexington Park, MD ",2012,0,0,0
554,"California-Lexington Park, MD ",2013,3,3,2.7
555,"California-Lexington Park, MD ",2014,0,0,0
556,"California-Lexington Park, MD ",2015,1,1,0.9
557,"California-Lexington Park, MD ",2016,2,2,1.8
558,"Cambridge-Newton-Framingham, MA M.D.",2008,15,15,1
559,"Cambridge-Newton-Framingham, MA M.D.",2009,18,18,1.2
560,"Cambridge-Newton-Framingham, MA M.D.",2010,20,20,1.3
561,"Cambridge-Newton-Framingham, MA M.D.",2011,13,14,0.9
562,"Cambridge-Newton-Framingham, MA M.D.",2013,21,21,0.9
563,"Cambridge-Newton-Framingham, MA M.D.",2016,25,25,1.1
564,"Cambridge-Newton-Framingham, MA M.D.1",2012,15,15,0.7
565,"Cambridge-Newton-Framingham, MA M.D.2",2007,13,13,0.9
566,"Camden, NJ M.D.",2006,58,58,4.7
567,"Camden, NJ M.D.",2007,61,61,4.9
568,"Camden, NJ M.D.",2008,79,79,6.3
569,"Camden, NJ M.D.",2009,50,50,4
570,"Camden, NJ M.D.",2010,52,52,4.1
571,"Camden, NJ M.D.",2011,65,65,5.2
572,"Camden, NJ M.D.",2012,80,80,6.4
573,"Camden, NJ M.D.",2013,84,84,6.7
574,"Camden, NJ M.D.",2014,56,56,4.5
575,"Camden, NJ M.D.",2016,83,83,6.7
576,"Camden, NJ M.D.2",2015,45,45,3.6
577,"Canton-Massillon, OH ",2010,10,10,2.5
578,"Canton-Massillon, OH ",2011,14,15,3.7
579,"Canton-Massillon, OH ",2012,13,13,3.2
580,"Canton-Massillon, OH ",2013,12,12,3
581,"Canton-Massillon, OH ",2014,12,12,3
582,"Canton-Massillon, OH ",2015,12,13,3.2
583,"Cape Coral-Fort Myers, FL ",2006,48,48,8.7
584,"Cape Coral-Fort Myers, FL ",2007,47,47,8
585,"Cape Coral-Fort Myers, FL ",2008,46,46,7.6
586,"Cape Coral-Fort Myers, FL ",2009,40,40,6.6
587,"Cape Coral-Fort Myers, FL ",2010,27,27,4.5
588,"Cape Coral-Fort Myers, FL ",2011,38,38,6.1
589,"Cape Coral-Fort Myers, FL ",2012,45,45,7
590,"Cape Coral-Fort Myers, FL ",2013,25,25,3.8
591,"Cape Coral-Fort Myers, FL ",2014,45,45,6.6
592,"Cape Coral-Fort Myers, FL ",2015,31,31,4.4
593,"Cape Coral-Fort Myers, FL ",2016,41,41,5.7
594,"Cape Girardeau, MO-IL ",2012,5,5,5.1
595,"Cape Girardeau, MO-IL ",2013,7,7,7.2
596,"Cape Girardeau, MO-IL ",2014,8,8,8.2
597,"Cape Girardeau, MO-IL ",2015,3,3,3.1
598,"Cape Girardeau, MO-IL ",2016,6,6,6.1
599,"Cape Girardeau-Jackson, MO-IL ",2008,4,4,4.3
600,"Cape Girardeau-Jackson, MO-IL ",2009,2,2,2.1
601,"Cape Girardeau-Jackson, MO-IL ",2010,1,1,1.1
602,"Cape Girardeau-Jackson, MO-IL ",2011,1,1,1
603,"Carbondale-Marion, IL ",2013,3,3,2.4
604,"Carson City, NV ",2006,2,2,3.5
605,"Carson City, NV ",2007,1,1,1.8
606,"Carson City, NV ",2008,0,0,0
607,"Carson City, NV ",2009,0,0,0
608,"Carson City, NV ",2010,0,0,0
609,"Carson City, NV ",2011,4,4,7.2
610,"Carson City, NV ",2012,0,0,0
611,"Carson City, NV ",2013,4,4,7.3
612,"Carson City, NV ",2014,1,1,1.8
613,"Carson City, NV ",2015,1,1,1.8
614,"Carson City, NV ",2016,1,1,1.8
615,"Casper, WY ",2006,2,2,2.8
616,"Casper, WY ",2007,4,4,5.6
617,"Casper, WY ",2008,1,1,1.4
618,"Casper, WY ",2009,0,0,0
619,"Casper, WY ",2010,3,3,3.9
620,"Casper, WY ",2011,2,2,2.6
621,"Casper, WY ",2012,3,3,3.9
622,"Casper, WY ",2013,3,3,3.8
623,"Casper, WY ",2014,3,3,3.7
624,"Casper, WY ",2015,1,1,1.2
625,"Casper, WY ",2016,0,0,0
626,"Cedar Rapids, IA ",2006,7,7,2.8
627,"Cedar Rapids, IA ",2007,3,3,1.2
628,"Cedar Rapids, IA ",2008,5,5,2
629,"Cedar Rapids, IA ",2009,1,1,0.4
630,"Cedar Rapids, IA ",2010,2,2,0.8
631,"Cedar Rapids, IA ",2011,2,2,0.8
632,"Cedar Rapids, IA ",2012,4,4,1.5
633,"Cedar Rapids, IA ",2013,4,4,1.5
634,"Cedar Rapids, IA ",2014,9,10,3.8
635,"Cedar Rapids, IA ",2015,8,8,3
636,"Cedar Rapids, IA ",2016,5,5,1.9
637,"Chambersburg-Waynesboro, PA ",2012,5,5,3.3
638,"Chambersburg-Waynesboro, PA ",2013,4,4,2.6
639,"Chambersburg-Waynesboro, PA ",2014,5,5,3.3
640,"Chambersburg-Waynesboro, PA ",2015,3,3,2
641,"Chambersburg-Waynesboro, PA ",2016,13,13,8.4
642,"Champaign-Urbana, IL ",2011,6,6,2.6
643,"Champaign-Urbana, IL ",2012,4,4,1.7
644,"Champaign-Urbana, IL ",2013,9,9,3.8
645,"Champaign-Urbana, IL ",2014,11,11,4.7
646,"Champaign-Urbana, IL ",2016,11,11,4.6
647,"Charleston, WV ",2006,22,23,7.5
648,"Charleston, WV ",2007,7,8,2.6
649,"Charleston, WV ",2008,13,14,4.6
650,"Charleston, WV ",2009,24,26,8.6
651,"Charleston, WV ",2011,17,19,6.2
652,"Charleston, WV ",2014,18,19,8.5
653,"Charleston, WV ",2015,18,18,8.1
654,"Charleston, WV ",2016,17,17,7.8
655,"Charleston-North Charleston, SC ",2006,76,76,12.6
656,"Charleston-North Charleston, SC ",2012,48,48,7
657,"Charleston-North Charleston, SC ",2013,51,51,7.2
658,"Charleston-North Charleston, SC ",2014,58,58,8
659,"Charleston-North Charleston, SC ",2015,63,63,8.5
660,"Charleston-North Charleston, SC ",2016,72,72,9.4
661,"Charleston-North Charleston-Summerville, SC ",2007,68,68,11
662,"Charleston-North Charleston-Summerville, SC ",2008,48,48,7.5
663,"Charleston-North Charleston-Summerville, SC ",2009,36,36,5.5
664,"Charleston-North Charleston-Summerville, SC ",2010,40,40,6
665,"Charlotte-Concord-Gastonia, NC-SC ",2013,121,122,5.2
666,"Charlotte-Concord-Gastonia, NC-SC ",2014,106,107,4.5
667,"Charlotte-Gastonia-Concord, NC-SC ",2006,127,128,8.3
668,"Charlotte-Gastonia-Concord, NC-SC ",2007,109,116,7.1
669,"Charlotte-Gastonia-Concord, NC-SC ",2008,136,137,8.1
670,"Charlotte-Gastonia-Rock Hill, NC-SC ",2009,97,98,5.6
671,"Charlotte-Gastonia-Rock Hill, NC-SC ",2011,85,86,4.8
672,"Charlottesville, VA ",2006,4,4,2.1
673,"Charlottesville, VA ",2007,5,5,2.6
674,"Charlottesville, VA ",2008,9,9,4.6
675,"Charlottesville, VA ",2009,1,1,0.5
676,"Charlottesville, VA ",2010,6,6,3
677,"Charlottesville, VA ",2011,6,6,2.9
678,"Charlottesville, VA ",2012,6,6,2.7
679,"Charlottesville, VA ",2013,4,4,1.8
680,"Charlottesville, VA ",2014,9,9,4
681,"Charlottesville, VA ",2015,3,3,1.3
682,"Charlottesville, VA ",2016,3,3,1.3
683,"Chattanooga, TN-GA ",2006,26,26,5.2
684,"Chattanooga, TN-GA ",2007,18,18,3.6
685,"Chattanooga, TN-GA ",2008,29,29,5.6
686,"Chattanooga, TN-GA ",2009,24,24,4.6
687,"Chattanooga, TN-GA ",2010,24,24,4.6
688,"Chattanooga, TN-GA ",2011,34,34,6.4
689,"Chattanooga, TN-GA ",2013,22,22,4.1
690,"Chattanooga, TN-GA ",2014,40,40,7.3
691,"Chattanooga, TN-GA ",2015,32,32,5.8
692,"Chattanooga, TN-GA ",2016,32,33,6
693,"Cheyenne, WY ",2006,2,2,2.3
694,"Cheyenne, WY ",2007,1,1,1.2
695,"Cheyenne, WY ",2008,3,3,3.4
696,"Cheyenne, WY ",2009,4,4,4.5
697,"Cheyenne, WY ",2010,0,0,0
698,"Cheyenne, WY ",2011,2,2,2.2
699,"Cheyenne, WY ",2012,2,2,2.1
700,"Cheyenne, WY ",2013,1,1,1
701,"Cheyenne, WY ",2014,3,3,3.1
702,"Cheyenne, WY ",2015,7,7,7.2
703,"Cheyenne, WY ",2016,8,8,8.2
704,"Chicago-Joilet-Naperville, IL M.D.2",2011,533,540,6.8
705,"Chicago-Joliet-Naperville, IL-IN-WI ",2011,599,609,6.4
706,"Chicago-Naperville-Arlington Heights, IL M.D.",2014,505,508,6.9
707,"Chicago-Naperville-Arlington Heights, IL M.D.",2015,561,566,7.7
708,"Chicago-Naperville-Arlington Heights, IL M.D.2",2016,867,871,11.9
709,"Chicago-Naperville-Arlington Heights, IL M.D.4",2012,594,598,8.2
710,"Chicago-Naperville-Arlington Heights, IL M.D.4, 5",2013,493,496,6.8
711,"Chicago-Naperville-Elgin, IL-IN-WI ",2012,675,679,7.1
712,"Chicago-Naperville-Elgin, IL-IN-WI ",2013,604,608,6.4
713,"Chicago-Naperville-Elgin, IL-IN-WI ",2014,601,605,6.3
714,"Chicago-Naperville-Elgin, IL-IN-WI ",2015,672,679,7.1
715,"Chicago-Naperville-Elgin, IL-IN-WI ",2016,958,967,10.2
716,"Chico, CA ",2006,11,11,5.1
717,"Chico, CA ",2007,9,9,4.2
718,"Chico, CA ",2008,7,7,3.2
719,"Chico, CA ",2009,10,10,4.5
720,"Chico, CA ",2010,7,7,3.2
721,"Chico, CA ",2011,8,8,3.6
722,"Chico, CA ",2012,11,11,4.9
723,"Chico, CA ",2013,13,13,5.8
724,"Chico, CA ",2014,11,11,4.9
725,"Chico, CA ",2015,7,7,3.1
726,"Chico, CA ",2016,4,4,1.8
727,"Cincinnati, OH-KY-IN ",2012,74,75,3.5
728,"Cincinnati, OH-KY-IN ",2013,101,103,4.8
729,"Cincinnati, OH-KY-IN ",2014,95,98,4.6
730,"Cincinnati, OH-KY-IN ",2015,98,100,4.6
731,"Cincinnati, OH-KY-IN ",2016,98,101,4.7
732,"Cincinnati-Middletown, OH-KY-IN ",2006,117,122,5.9
733,"Cincinnati-Middletown, OH-KY-IN ",2007,94,100,4.7
734,"Cincinnati-Middletown, OH-KY-IN ",2008,104,107,5
735,"Cincinnati-Middletown, OH-KY-IN ",2009,87,89,4.1
736,"Cincinnati-Middletown, OH-KY-IN ",2010,90,91,4.2
737,"Cincinnati-Middletown, OH-KY-IN ",2011,99,99,4.6
738,"Clarksville, TN-KY ",2006,12,12,4.9
739,"Clarksville, TN-KY ",2007,14,14,5.7
740,"Clarksville, TN-KY ",2008,7,7,2.6
741,"Clarksville, TN-KY ",2009,20,20,7.5
742,"Clarksville, TN-KY ",2010,16,16,5.9
743,"Clarksville, TN-KY ",2011,11,11,4
744,"Clarksville, TN-KY ",2012,17,17,6.4
745,"Clarksville, TN-KY ",2013,14,14,5
746,"Clarksville, TN-KY ",2014,17,17,6.2
747,"Clarksville, TN-KY ",2015,17,17,6
748,"Clarksville, TN-KY ",2016,19,19,6.7
749,"Cleveland, TN ",2006,1,1,0.9
750,"Cleveland, TN ",2007,3,3,2.7
751,"Cleveland, TN ",2008,3,3,2.7
752,"Cleveland, TN ",2009,3,3,2.6
753,"Cleveland, TN ",2010,0,0,0
754,"Cleveland, TN ",2011,7,7,6
755,"Cleveland, TN ",2012,5,5,4.2
756,"Cleveland, TN ",2013,1,1,0.8
757,"Cleveland, TN ",2014,2,2,1.7
758,"Cleveland, TN ",2015,8,8,6.6
759,"Cleveland, TN ",2016,3,3,2.5
760,"Cleveland-Elyria, OH ",2016,181,189,9.2
761,"Cleveland-Elyria-Mentor, OH ",2006,93,99,4.7
762,"Cleveland-Elyria-Mentor, OH ",2007,121,129,6.1
763,"Cleveland-Elyria-Mentor, OH ",2009,116,122,5.8
764,"Cleveland-Elyria-Mentor, OH ",2010,100,102,4.9
765,"Cleveland-Elyria-Mentor, OH ",2011,96,99,4.8
766,"Coeur d'Alene, ID ",2006,1,1,0.8
767,"Coeur d'Alene, ID ",2007,1,1,0.7
768,"Coeur d'Alene, ID ",2009,2,2,1.4
769,"Coeur d'Alene, ID ",2010,4,4,2.8
770,"Coeur d'Alene, ID ",2012,1,1,0.7
771,"Coeur d'Alene, ID ",2013,3,3,2.1
772,"Coeur d'Alene, ID ",2014,4,4,2.7
773,"Coeur d'Alene, ID ",2015,2,2,1.3
774,"Coeur d'Alene, ID ",2016,7,7,4.6
775,"College Station-Bryan, TX ",2006,8,8,4.1
776,"College Station-Bryan, TX ",2007,7,7,3.6
777,"College Station-Bryan, TX ",2008,10,10,4.9
778,"College Station-Bryan, TX ",2009,5,5,2.4
779,"College Station-Bryan, TX ",2010,8,8,3.7
780,"College Station-Bryan, TX ",2011,5,5,2.1
781,"College Station-Bryan, TX ",2012,6,6,2.6
782,"College Station-Bryan, TX ",2013,5,5,2.1
783,"College Station-Bryan, TX ",2014,5,5,2.1
784,"College Station-Bryan, TX ",2015,11,11,4.5
785,"College Station-Bryan, TX ",2016,5,5,2
786,"Colorado Springs, CO ",2006,18,18,3
787,"Colorado Springs, CO ",2007,30,30,4.9
788,"Colorado Springs, CO ",2008,31,31,5
789,"Colorado Springs, CO ",2009,21,21,3.3
790,"Colorado Springs, CO ",2010,23,23,3.7
791,"Colorado Springs, CO ",2011,31,31,4.7
792,"Colorado Springs, CO ",2012,20,20,3
793,"Colorado Springs, CO ",2013,42,42,6.2
794,"Colorado Springs, CO ",2014,23,23,3.3
795,"Colorado Springs, CO ",2015,26,26,3.7
796,"Colorado Springs, CO ",2016,32,32,4.5
797,"Columbia, MO ",2006,3,3,1.9
798,"Columbia, MO ",2007,5,5,3.2
799,"Columbia, MO ",2008,7,7,4.3
800,"Columbia, MO ",2009,3,3,1.8
801,"Columbia, MO ",2010,4,4,2.4
802,"Columbia, MO ",2011,4,4,2.3
803,"Columbia, MO ",2012,3,3,1.8
804,"Columbia, MO ",2013,5,5,2.9
805,"Columbia, MO ",2014,6,6,3.5
806,"Columbia, MO ",2015,6,6,3.4
807,"Columbia, MO ",2016,6,6,3.4
808,"Columbia, SC ",2006,59,59,8.4
809,"Columbia, SC ",2008,40,40,5.5
810,"Columbia, SC ",2009,47,47,6.3
811,"Columbia, SC ",2010,40,40,5.3
812,"Columbia, SC ",2013,37,37,4.7
813,"Columbia, SC ",2014,49,52,6.5
814,"Columbia, SC ",2015,56,56,6.9
815,"Columbia, SC ",2016,58,58,7.1
816,"Columbus, GA-AL ",2006,19,20,6.8
817,"Columbus, GA-AL ",2007,28,29,10
818,"Columbus, GA-AL ",2008,34,35,12.4
819,"Columbus, GA-AL ",2009,15,16,5.6
820,"Columbus, GA-AL ",2010,19,20,7
821,"Columbus, GA-AL ",2011,24,24,8
822,"Columbus, GA-AL ",2012,19,19,6.2
823,"Columbus, GA-AL ",2013,30,30,9.5
824,"Columbus, GA-AL ",2014,29,29,9
825,"Columbus, GA-AL ",2015,22,22,6.9
826,"Columbus, GA-AL ",2016,33,33,10.4
827,"Columbus, IN ",2006,3,3,4.1
828,"Columbus, IN ",2007,2,2,2.7
829,"Columbus, IN ",2008,2,2,2.7
830,"Columbus, IN ",2009,0,0,0
831,"Columbus, IN ",2010,0,0,0
832,"Columbus, IN ",2011,1,1,1.3
833,"Columbus, IN ",2012,1,1,1.3
834,"Columbus, IN ",2013,5,5,6.2
835,"Columbus, IN ",2014,0,0,0
836,"Columbus, IN ",2015,1,1,1.2
837,"Columbus, IN ",2016,0,0,0
838,"Columbus, OH ",2006,111,113,6.6
839,"Columbus, OH ",2007,92,94,5.4
840,"Columbus, OH ",2008,120,123,6.9
841,"Columbus, OH ",2009,102,103,5.7
842,"Columbus, OH ",2010,106,106,5.8
843,"Columbus, OH ",2011,103,104,5.7
844,"Columbus, OH ",2014,93,95,4.8
845,"Columbus, OH ",2015,92,94,4.7
846,"Columbus, OH ",2016,104,107,5.2
847,"Corpus Christi, TX ",2006,25,25,5.9
848,"Corpus Christi, TX ",2007,23,23,5.5
849,"Corpus Christi, TX ",2008,21,21,5.1
850,"Corpus Christi, TX ",2009,15,15,3.6
851,"Corpus Christi, TX ",2010,21,21,5
852,"Corpus Christi, TX ",2011,18,18,4.1
853,"Corpus Christi, TX ",2012,23,23,5.3
854,"Corpus Christi, TX ",2013,24,24,5.4
855,"Corpus Christi, TX ",2014,30,30,6.7
856,"Corpus Christi, TX ",2015,23,23,5.1
857,"Corpus Christi, TX ",2016,35,35,7.7
858,"Corvallis, OR ",2007,2,2,2.5
859,"Corvallis, OR ",2008,1,1,1.2
860,"Corvallis, OR ",2009,1,1,1.2
861,"Corvallis, OR ",2010,0,0,0
862,"Corvallis, OR ",2011,3,3,3.5
863,"Corvallis, OR ",2012,1,1,1.2
864,"Corvallis, OR ",2013,0,0,0
865,"Corvallis, OR ",2014,0,0,0
866,"Corvallis, OR ",2015,2,2,2.3
867,"Corvallis, OR ",2016,1,1,1.1
868,"Crestview-Fort Walton Beach-Destin, FL ",2009,5,5,2.8
869,"Crestview-Fort Walton Beach-Destin, FL ",2010,3,3,1.7
870,"Crestview-Fort Walton Beach-Destin, FL ",2011,4,4,2.2
871,"Crestview-Fort Walton Beach-Destin, FL ",2012,3,3,1.2
872,"Crestview-Fort Walton Beach-Destin, FL ",2013,7,7,2.8
873,"Crestview-Fort Walton Beach-Destin, FL ",2014,4,4,1.5
874,"Crestview-Fort Walton Beach-Destin, FL ",2015,13,13,4.9
875,"Crestview-Fort Walton Beach-Destin, FL ",2016,14,14,5.2
876,"Cumberland, MD-WV ",2006,1,1,1
877,"Cumberland, MD-WV ",2007,1,1,1
878,"Cumberland, MD-WV ",2008,5,5,5.1
879,"Cumberland, MD-WV ",2009,2,2,2
880,"Cumberland, MD-WV ",2010,5,5,5
881,"Cumberland, MD-WV ",2011,6,6,5.8
882,"Cumberland, MD-WV ",2012,4,4,3.9
883,"Cumberland, MD-WV ",2013,4,4,3.9
884,"Cumberland, MD-WV ",2014,3,3,3
885,"Cumberland, MD-WV ",2015,4,4,4
886,"Cumberland, MD-WV ",2016,6,6,6.1
887,"Dallas-Fort Worth-Arlington, TX ",2006,336,336,5.6
888,"Dallas-Fort Worth-Arlington, TX ",2007,359,359,5.9
889,"Dallas-Fort Worth-Arlington, TX ",2008,348,348,5.5
890,"Dallas-Fort Worth-Arlington, TX ",2009,310,310,4.8
891,"Dallas-Fort Worth-Arlington, TX ",2010,311,312,4.7
892,"Dallas-Fort Worth-Arlington, TX ",2011,294,294,4.5
893,"Dallas-Fort Worth-Arlington, TX ",2012,277,277,4.1
894,"Dallas-Fort Worth-Arlington, TX ",2013,303,303,4.4
895,"Dallas-Fort Worth-Arlington, TX ",2015,287,287,4
896,"Dallas-Fort Worth-Arlington, TX ",2016,368,368,5.1
897,"Dallas-Plano-Irving, TX M.D.",2006,255,255,6.4
898,"Dallas-Plano-Irving, TX M.D.",2007,268,268,6.5
899,"Dallas-Plano-Irving, TX M.D.",2008,257,257,6.1
900,"Dallas-Plano-Irving, TX M.D.",2009,235,235,5.4
901,"Dallas-Plano-Irving, TX M.D.",2010,207,208,4.7
902,"Dallas-Plano-Irving, TX M.D.",2011,200,200,4.6
903,"Dallas-Plano-Irving, TX M.D.",2012,194,194,4.4
904,"Dallas-Plano-Irving, TX M.D.",2013,213,213,4.7
905,"Dallas-Plano-Irving, TX M.D.",2015,206,206,4.4
906,"Dallas-Plano-Irving, TX M.D.",2016,250,250,5.2
907,"Dalton, GA ",2006,2,2,1.5
908,"Dalton, GA ",2007,3,3,2.2
909,"Dalton, GA ",2008,1,1,0.7
910,"Dalton, GA ",2009,2,2,1.5
911,"Dalton, GA ",2010,5,5,3.8
912,"Dalton, GA ",2011,2,2,1.4
913,"Dalton, GA ",2012,4,4,2.8
914,"Dalton, GA ",2013,2,2,1.4
915,"Dalton, GA ",2014,4,4,2.8
916,"Dalton, GA ",2015,3,3,2.1
917,"Dalton, GA ",2016,0,0,0
918,"Danville, IL ",2009,6,6,7.5
919,"Danville, IL ",2010,1,1,1.3
920,"Danville, IL ",2011,3,3,3.7
921,"Danville, IL ",2012,4,4,4.9
922,"Danville, IL ",2014,1,1,1.3
923,"Danville, IL ",2015,0,0,0
924,"Danville, IL ",2016,0,0,0
925,"Danville, VA ",2006,5,5,4.6
926,"Danville, VA ",2007,9,9,8.5
927,"Danville, VA ",2008,13,13,12.4
928,"Danville, VA ",2009,9,9,8.5
929,"Danville, VA ",2010,12,12,11.3
930,"Danville, VA ",2011,11,11,10.2
931,"Daphne-Fairhope-Foley, AL ",2012,8,8,4.3
932,"Daphne-Fairhope-Foley, AL ",2013,1,1,0.5
933,"Daphne-Fairhope-Foley, AL ",2014,4,4,2
934,"Daphne-Fairhope-Foley, AL ",2015,3,3,1.5
935,"Davenport-Moline-Rock Island, IA-IL ",2010,7,7,1.8
936,"Davenport-Moline-Rock Island, IA-IL ",2011,8,8,2.1
937,"Davenport-Moline-Rock Island, IA-IL ",2012,10,10,2.6
938,"Davenport-Moline-Rock Island, IA-IL ",2013,7,7,1.8
939,"Davenport-Moline-Rock Island, IA-IL ",2014,4,4,1
940,"Davenport-Moline-Rock Island, IA-IL ",2015,10,10,2.6
941,"Davenport-Moline-Rock Island, IA-IL ",2016,12,12,3.1
942,"Dayton, OH ",2006,43,45,5.3
943,"Dayton, OH ",2007,37,39,4.7
944,"Dayton, OH ",2008,42,43,5.2
945,"Dayton, OH ",2009,47,47,5.6
946,"Dayton, OH ",2010,41,41,4.9
947,"Dayton, OH ",2011,51,51,6.1
948,"Dayton, OH ",2012,31,31,3.9
949,"Dayton, OH ",2013,44,44,5.5
950,"Dayton, OH ",2014,34,34,4.2
951,"Dayton, OH ",2015,37,37,4.6
952,"Dayton, OH ",2016,62,63,7.9
953,"Decatur, AL ",2006,7,7,4.7
954,"Decatur, AL ",2007,0,0,0
955,"Decatur, AL ",2008,6,6,4
956,"Decatur, AL ",2009,2,2,1.3
957,"Decatur, AL ",2010,4,4,2.6
958,"Decatur, AL ",2011,3,3,1.9
959,"Decatur, AL ",2012,2,2,1.3
960,"Decatur, AL ",2013,7,7,4.5
961,"Decatur, AL ",2014,2,2,1.3
962,"Decatur, AL ",2015,6,6,3.9
963,"Decatur, AL ",2016,5,5,3.3
964,"Decatur, IL ",2009,3,3,2.8
965,"Decatur, IL ",2010,4,4,3.8
966,"Decatur, IL ",2011,10,10,9
967,"Decatur, IL ",2012,6,6,5.4
968,"Decatur, IL ",2013,5,5,4.6
969,"Decatur, IL ",2014,2,2,1.8
970,"Decatur, IL ",2015,6,6,5.6
971,"Decatur, IL ",2016,3,3,2.8
972,"Deltona-Daytona Beach-Ormond Beach, FL ",2006,21,21,4.2
973,"Deltona-Daytona Beach-Ormond Beach, FL ",2007,20,20,4
974,"Deltona-Daytona Beach-Ormond Beach, FL ",2008,15,15,3
975,"Deltona-Daytona Beach-Ormond Beach, FL ",2009,19,19,3.8
976,"Deltona-Daytona Beach-Ormond Beach, FL ",2010,17,17,3.4
977,"Deltona-Daytona Beach-Ormond Beach, FL ",2011,22,22,4.4
978,"Deltona-Daytona Beach-Ormond Beach, FL ",2012,20,20,3.3
979,"Deltona-Daytona Beach-Ormond Beach, FL ",2013,26,26,4.3
980,"Deltona-Daytona Beach-Ormond Beach, FL ",2014,12,12,2
981,"Deltona-Daytona Beach-Ormond Beach, FL ",2015,24,24,3.9
982,"Deltona-Daytona Beach-Ormond Beach, FL ",2016,19,19,3
983,"Denver-Aurora, CO ",2006,106,106,4.4
984,"Denver-Aurora, CO ",2007,85,85,3.4
985,"Denver-Aurora-Broomfield, CO ",2008,81,81,3.2
986,"Denver-Aurora-Broomfield, CO ",2009,100,100,3.9
987,"Denver-Aurora-Broomfield, CO ",2010,65,65,2.5
988,"Denver-Aurora-Broomfield, CO ",2011,71,71,2.7
989,"Denver-Aurora-Lakewood, CO ",2012,103,103,3.9
990,"Denver-Aurora-Lakewood, CO ",2013,99,99,3.7
991,"Denver-Aurora-Lakewood, CO ",2014,76,76,2.8
992,"Denver-Aurora-Lakewood, CO ",2015,108,108,3.8
993,"Denver-Aurora-Lakewood, CO ",2016,124,124,4.3
994,"Des Moines-West Des Moines, IA ",2006,8,8,1.5
995,"Des Moines-West Des Moines, IA ",2007,7,7,1.3
996,"Des Moines-West Des Moines, IA ",2008,16,16,2.9
997,"Des Moines-West Des Moines, IA ",2009,7,7,1.2
998,"Des Moines-West Des Moines, IA ",2010,9,9,1.6
999,"Des Moines-West Des Moines, IA ",2011,9,9,1.6
1000,"Des Moines-West Des Moines, IA ",2012,8,8,1.4
1001,"Des Moines-West Des Moines, IA ",2013,14,14,2.3
1002,"Des Moines-West Des Moines, IA ",2014,11,11,1.8
1003,"Des Moines-West Des Moines, IA ",2015,21,21,3.4
1004,"Des Moines-West Des Moines, IA ",2016,25,25,4
1005,"Detroit-Dearborn-Livonia, MI M.D.",2012,430,430,23.8
1006,"Detroit-Dearborn-Livonia, MI M.D.",2013,364,364,20.4
