GEOID,MSA,year,hhs_married,hhs_singledad,hhs_singlemom,hhsize,families_married,families_singledad,families_singlemom,family_size,pct_apts,pct_ownhouse,pct_renthouse
3100000US27180,27180,2007,.4547615345313992,.0416731457005131,.1838860874780638,2.39,.6684516423953504,.0612551426892183,.2702932149154313,2.91,17.8,65.7,34.3
3100000US27180,27180,2008,.4998421147600144,.0305620714543486,.1375857091302779,2.45,.7482779578606159,.0457522960561858,.2059697460831983,3.03,16.4,67.7,32.3
3100000US27180,27180,2009,.4752361799644561,.0543447759797961,.1633850902628379,2.58,.6858000944860633,.0784234325436998,.2357764729702369,3.15,14,72.40000000000001,27.6
310M100US27180,27180,2010,.4678681407441062,.035286990761775,.1738603665000757,2.79,.6910744910894042,.0521213928864365,.2568041160241593,3.45,14.8,64.90000000000001,35.1
310M100US27180,27180,2011,.4386643319227589,.0442628532516173,.1598083564375699,2.71,.6824958377478432,.0688663538671106,.2486378083850461,3.46,13.6,67.90000000000001,32.1
310M100US27180,27180,2012,.462360594795539,.0370817843866171,.1345724907063197,2.56,.7292582820287306,.0584872471416007,.2122544708296687,3.32,15.3,64.7,35.3
310M200US27180,27180,2013,.4504858910838455,.041423012312076,.1564207795521722,2.66,.6948407622421201,.0638918954376988,.241267342320181,3.36,15.4,65.09999999999999,34.9
310M200US27180,27180,2014,.4849577350035645,.0350137488542621,.1593441287300132,2.55,.713891637432161,.0515426823783395,.2345656801894996,3.1,15.2,64.3,35.7
310M200US27180,27180,2015,.4933492842369926,.0369641915730565,.1673425524149398,2.53,.7071526142936031,.0529834045397739,.2398639811666231,3.01,13.2,66.59999999999999,33.4
310M300US27180,27180,2016,.4660852914854205,.0411680229775012,.1797198576393948,2.58,.6784621443936135,.0599266822189233,.2616111733874633,3.17,13.6,64.09999999999999,35.9
3100000US27260,27260,2006,.479210904856497,.0411893642997304,.1320034007164068,2.52,.7345312832928287,.0631347832665804,.2023339334405909,3.12,20.8,67.90000000000001,32.1
3100000US27260,27260,2007,.4941515156301831,.0483497085630341,.1316481589713618,2.51,.733000026359954,.0717195769520278,.1952803966880182,3.05,19.4,69,31
3100000US27260,27260,2008,.4828196925335269,.0418617916663343,.1337726471315628,2.57,.7332624545270051,.0635758660693461,.2031616794036487,3.18,20,68.09999999999999,31.9
3100000US27260,27260,2009,.4808951522474721,.0434919322782044,.1444793605151318,2.58,.7189703651797514,.0650233430016823,.2160062918185662,3.15,20.7,67.8,32.2
310M100US27260,27260,2010,.4822844614440532,.0434701444370965,.1444549699031459,2.62,.7196024629753643,.0648605242415802,.2155370127830555,3.2,21.3,66.8,33.2
310M100US27260,27260,2011,.4722731970308429,.0433683192983421,.1423022362986918,2.62,.7178017803870744,.0659149344075778,.2162832852053477,3.25,21.5,67.40000000000001,32.6
310M100US27260,27260,2012,.4655455943981752,.0400902201867668,.1434170895737921,2.66,.7172691030503734,.0617672610813282,.2209636358682985,3.3,22.7,65,35
310M200US27260,27260,2013,.466699215722744,.0442299048327598,.1387248519792926,2.65,.7183812236255461,.0680822510176998,.2135365253567541,3.28,21.6,65.3,34.7
310M200US27260,27260,2014,.4665808432247686,.0455469164998403,.1441474650893301,2.63,.7109530050552331,.069402157475552,.2196448374692149,3.24,22.7,62.2,37.8
310M200US27260,27260,2015,.4715186864044125,.0421611824747016,.1451168098392874,2.65,.7157271759804366,.0639972602119373,.2202755638076261,3.24,22.7,63.2,36.8
310M300US27260,27260,2016,.4747519830470343,.051434035110637,.1306053282822785,2.63,.7228353199541443,.0783110730514772,.1988536069943785,3.22,22.1,64.59999999999999,35.4
3100000US27340,27340,2006,.573921798959557,.0284909846916895,.130279129607876,2.4,.7833057640921237,.0388853543707851,.1778088815370912,2.82,11.6,58.1,41.9
3100000US27340,27340,2007,.5960385718008862,.0242563014259652,.1539148888640679,2.43,.7698670321479237,.031330399865349,.1988025679867273,2.77,10.4,61.3,38.7
3100000US27340,27340,2008,.5807619619548898,.0376741967960153,.1348534892346822,2.52,.7709676662993271,.0500128959647354,.1790194377359375,2.91,9.300000000000001,62.3,37.7
3100000US27340,27340,2009,.5879729391130043,.0313538795623486,.1249143907124363,2.34,.7900300758629977,.0421286528706738,.1678412712663285,2.72,10.7,54.7,45.3
310M100US27340,27340,2010,.5410842933501544,.0311742638026626,.159589655057933,2.71,.7393395028125567,.0425966249319543,.218063872255489,3.15,9.800000000000001,53.1,46.9
310M100US27340,27340,2011,.5343778216232485,.0282747550413002,.1315921479450222,2.73,.7697254335260115,.0407273603082852,.1895472061657033,3.26,11.5,60.8,39.2
310M100US27340,27340,2012,.5729762944277352,.039277513663853,.1308495844248246,2.74,.771058644325971,.0528560548362529,.1760853008377761,3.18,12.3,53.8,46.2
310M200US27340,27340,2013,.5458001448225923,.040945296557172,.1359686656572971,2.82,.7552089263349653,.056654901514289,.1881361721507458,3.25,16.2,50.2,49.8
310M200US27340,27340,2014,.5482520647132029,.0306919011523605,.1156885879139528,2.81,.7892691779706368,.0441843691104958,.1665464529188674,3.42,17.4,54.7,45.3
310M200US27340,27340,2015,.5369378271139862,.0261073628630097,.1498046965462939,2.7,.7532270640214849,.0366239279216841,.210149008056831,3.16,14.2,51.9,48.1
310M300US27340,27340,2016,.539002039957258,.0412362788589191,.1125862124793576,2.82,.7779777066342626,.059519080223401,.1625032131423364,3.34,13.4,50.3,49.7
3100000US27460,27460,2006,.4883617576801289,.0429976112438198,.1068273984778623,2.44,.765233286908078,.067374651810585,.167392061281337,3.01,21.6,69.7,30.3
3100000US27460,27460,2007,.4888004985702764,.047859080577755,.1183187917002713,2.3,.7462849466879355,.0730697114711891,.1806453418408754,2.82,24.8,67.40000000000001,32.6
3100000US27460,27460,2008,.4708645585816121,.0392432827636629,.1148601718150247,2.31,.7534218530650445,.0627924660739354,.1837856808610201,2.83,24,68,32
3100000US27460,27460,2009,.4601046315943513,.0453464549645131,.1238567352015804,2.34,.7311280992936663,.0720576693892974,.1968142313170363,2.9,23,68.2,31.8
310M100US27460,27460,2010,.45025468733066,.0415266789494599,.116560095372277,2.32,.7401348021022002,.0682621217969655,.1916030761008344,2.92,23.5,71.40000000000001,28.6
310M100US27460,27460,2011,.456980707797191,.0419574179501365,.1346706405154106,2.28,.7212348252260372,.0662197560769512,.2125454186970115,2.81,22.6,67.2,32.8
310M100US27460,27460,2012,.4554753541513877,.0372293202609333,.1357741151040259,2.45,.7247266920525733,.0592371944478565,.2160361134995701,3.07,21.3,69.90000000000001,30.1
310M200US27460,27460,2013,.4380487983721655,.0456636908580961,.1155799160418691,2.32,.7309433500550594,.0761960112565765,.1928606386883641,2.96,24.8,68.40000000000001,31.6
310M200US27460,27460,2014,.4446859173028951,.0511943457555371,.1257653639730894,2.38,.7153366773065816,.0823529411764706,.2023103815169479,2.96,20.6,71.59999999999999,28.4
310M200US27460,27460,2015,.4349444541383121,.0661509529071909,.1203396731227825,2.42,.6999032851839141,.1064486943499828,.193648020466103,3.04,20.9,69.59999999999999,30.4
310M300US27460,27460,2016,.4684266511942752,.0394739386906489,.0955033362344067,2.39,.7763069329145165,.0654187634219045,.158274303663579,3.04,23.2,68.09999999999999,31.9
3100000US27500,27500,2006,.5253199063532279,.0323434142586832,.1176517751194638,2.51,.7778885881179656,.0478938120340029,.1742175998480315,3.05,16.5,73.90000000000001,26.1
3100000US27500,27500,2007,.5160790205542947,.0459195089984976,.1203848735735064,2.51,.7562889398978779,.067292828032042,.1764182320700801,3.03,17.4,73.3,26.7
3100000US27500,27500,2008,.5095212842886757,.0553921804946247,.1172443715952369,2.53,.7469257950530035,.0812014134275618,.1718727915194346,3.05,16.6,73.59999999999999,26.4
3100000US27500,27500,2009,.5235290402046553,.0508006190190443,.1268357388750276,2.48,.7466555560560335,.0724516913652538,.1808927525787127,2.92,16.6,73.7,26.3
310M100US27500,27500,2010,.5053472943809447,.066117816321637,.1215090720166254,2.51,.7292440425384669,.0954116588617961,.175344298599737,2.96,17.2,72.7,27.3
310M100US27500,27500,2011,.499363357698656,.051481568812387,.1120647645995441,2.46,.7532901757131678,.0776600033198169,.1690498209670152,2.95,15.4,69.59999999999999,30.4
310M100US27500,27500,2012,.4698911308799595,.0435634490495678,.1434259800590959,2.49,.7153372462234197,.0663186760319446,.2183440777446358,3.01,18.6,67.90000000000001,32.1
310M200US27500,27500,2013,.4796529771564099,.0665647235051804,.1280895019348396,2.46,.7113270855027189,.0987157237070462,.1899571907902349,2.93,18.5,69.8,30.2
310M200US27500,27500,2014,.4660596157812079,.0496057870774307,.1379031362533115,2.51,.7130998325202068,.0758999004830214,.2110002669967718,3.05,18.5,67.3,32.7
310M200US27500,27500,2015,.4713315092077351,.0552310388292803,.1325821625111446,2.43,.7150652985074627,.0837919776119403,.201142723880597,2.89,17.2,69.7,30.3
310M300US27500,27500,2016,.4578469520103761,.0403973300433393,.137183258992123,2.51,.7205336917830384,.0635750379608195,.2158912702561422,3.13,18.8,69.2,30.8
3100000US27620,27620,2006,.5278945892907205,.03941687692739,.1115970470049528,2.51,.7775636613902271,.0580591878871301,.1643771507226428,3.06,15.3,72.40000000000001,27.6
3100000US27620,27620,2007,.5217468615526868,.03791030975497,.1129307585618265,2.45,.7757303370786517,.0563648380700595,.1679048248512888,2.97,19.2,69.59999999999999,30.4
3100000US27620,27620,2008,.5493576741041244,.0331838724600548,.093751112060069,2.42,.8123076113552054,.0490673261595938,.1386250624852009,2.97,14.3,74.3,25.7
3100000US27620,27620,2009,.5587608976575724,.0289390823216788,.1137542544091149,2.49,.796574987026466,.0412558380902958,.1621691748832382,2.99,15.2,74.7,25.3
310M100US27620,27620,2010,.5057758850146393,.0504835418330228,.1205571821488776,2.37,.747286455875413,.0745896911541083,.1781238529704787,2.87,16.2,71.3,28.7
310M100US27620,27620,2011,.5452399272523782,.0475132904308898,.1114822327923895,2.49,.7742295944972809,.0674679049440044,.1583025005587147,2.95,14.9,72.40000000000001,27.6
310M100US27620,27620,2012,.4920599302654745,.0323298926364484,.1290433942072013,2.41,.7530378275570583,.04947696534235,.1974852071005917,2.96,17.4,72.2,27.8
310M200US27620,27620,2013,.4905985439321243,.0299920342342676,.1107241436801838,2.56,.7771061357434197,.0475072625370463,.175386601719534,3.22,18.1,69.5,30.5
310M200US27620,27620,2014,.4966808023332797,.0293807146563602,.1215130531250559,2.5,.7669862673040259,.0453703959547954,.1876433367411788,3.07,15.1,72.5,27.5
