GEOID,MSA,year,pct_enroll_public,pct_enroll_private,pct5_9_enroll,pct10_14_enroll,pct15_17_enroll,pct18_19_enroll
3100000US10500,10500,2008,88.5,11.5,46.9,94,99.59999999999999,93.90000000000001
3100000US10500,10500,2009,90.2,9.800000000000001,56.8,100,100,94
310M100US10500,10500,2010,92.2,7.8,97.2,98.3,94.2,79.59999999999999
310M100US10500,10500,2011,90.40000000000001,9.6,97.09999999999999,96.5,99.3,73.8
310M100US10500,10500,2012,90.5,9.5,99,97.90000000000001,95.5,69.59999999999999
310M200US10500,10500,2013,90.40000000000001,9.6,98.90000000000001,99,92,78.59999999999999
310M200US10500,10500,2014,92,8,96.90000000000001,98.59999999999999,99.09999999999999,62.7
310M200US10500,10500,2015,91.7,8.300000000000001,98.3,99.09999999999999,96.5,74.09999999999999
310M300US10500,10500,2016,92.2,7.8,99.40000000000001,97.8,98.90000000000001,67.3
3100000US10540,10540,2006,92.5,7.5,94.59999999999999,96,85.7,61.6
3100000US10540,10540,2007,89.09999999999999,10.9,98.40000000000001,98.3,96.90000000000001,61.8
3100000US10540,10540,2008,88.90000000000001,11.1,37.7,95.40000000000001,99.5,91.90000000000001
3100000US10540,10540,2009,90.90000000000001,9.1,26.2,97.90000000000001,96.40000000000001,94
310M100US10540,10540,2010,90.8,9.199999999999999,91.8,99.09999999999999,100,85.59999999999999
310M100US10540,10540,2011,87.2,12.8,95.5,98.59999999999999,97.3,64.2
310M100US10540,10540,2012,90.3,9.699999999999999,93.59999999999999,100,91.2,65.3
310M200US10540,10540,2013,92.40000000000001,7.6,92.8,99.7,95.90000000000001,65.09999999999999
310M200US10540,10540,2014,89.59999999999999,10.4,93.09999999999999,100,97.3,81.7
310M200US10540,10540,2015,89.40000000000001,10.6,94,98,98.8,71.09999999999999
310M300US10540,10540,2016,88.09999999999999,11.9,90.09999999999999,97.2,98.5,63.7
3100000US10580,10580,2006,78.5,21.5,94.09999999999999,98.09999999999999,96.09999999999999,81.8
3100000US10580,10580,2007,77.40000000000001,22.6,96,97.8,95.3,83.5
3100000US10580,10580,2008,78.59999999999999,21.4,51.8,96.59999999999999,99,95.90000000000001
3100000US10580,10580,2009,77.90000000000001,22.1,56.5,94.90000000000001,98.2,98.90000000000001
310M100US10580,10580,2010,78.7,21.3,96.2,98.7,97.7,79.40000000000001
310M100US10580,10580,2011,77.7,22.3,96.7,99.5,97.2,81.40000000000001
310M100US10580,10580,2012,77.8,22.2,97,98.7,97.5,85.8
310M200US10580,10580,2013,75.7,24.3,96.7,99.2,96.5,81.59999999999999
310M200US10580,10580,2014,77.2,22.8,97.09999999999999,99.2,97.09999999999999,81
310M200US10580,10580,2015,77.8,22.2,95.3,98.5,95.40000000000001,90.40000000000001
310M300US10580,10580,2016,77.59999999999999,22.4,98.3,98.3,95.90000000000001,89.90000000000001
3100000US10700,10700,2006,87.09999999999999,12.9,90.2,93.7,98.8,56.9
3100000US10700,10700,2007,94,6,85.59999999999999,100,91.40000000000001,67.90000000000001
3100000US10700,10700,2008,93.3,6.7,29.7,91.5,98.8,97
3100000US10700,10700,2009,91,9,27.1,94.7,100,93.7
310M100US10700,10700,2010,93.5,6.5,80.59999999999999,100,97.90000000000001,61
310M100US10700,10700,2011,90.8,9.199999999999999,94.2,99.8,99.40000000000001,47.6
310M100US10700,10700,2012,94,6,98.5,97.2,96.3,47.4
310M200US10700,10700,2013,92.40000000000001,7.6,92.5,99.8,90.2,55.1
310M200US10700,10700,2014,93.59999999999999,6.4,92.3,99.2,98.09999999999999,62.5
310M200US10700,10700,2015,97.3,2.7,97.7,100,99.90000000000001,91.5
310M300US10700,10700,2016,96.2,3.8,98,99.8,99.8,60.8
3100000US10740,10740,2006,86.8,13.2,94.40000000000001,97.90000000000001,95,68.5
3100000US10740,10740,2007,85.40000000000001,14.6,94.5,98.5,95.8,72.3
3100000US10740,10740,2008,84.7,15.3,45.8,95.2,98.40000000000001,95.8
3100000US10740,10740,2009,86.40000000000001,13.6,41.8,95.90000000000001,98.8,92.3
310M100US10740,10740,2010,86.40000000000001,13.6,91.59999999999999,97.8,96,64.90000000000001
310M100US10740,10740,2011,88.7,11.3,95.5,99.3,96.7,75.90000000000001
310M100US10740,10740,2012,87,13,92.5,98.2,97.2,65.5
310M200US10740,10740,2013,85.8,14.2,95.59999999999999,97.7,96.59999999999999,79.5
310M200US10740,10740,2014,86.59999999999999,13.4,95.09999999999999,97.7,95.90000000000001,73
310M200US10740,10740,2015,88.90000000000001,11.1,95.09999999999999,97.90000000000001,95.8,65.3
310M300US10740,10740,2016,88.3,11.7,94.5,97.7,96.59999999999999,73.09999999999999
3100000US10780,10780,2006,86.09999999999999,13.9,93.8,96.8,91,65.40000000000001
3100000US10780,10780,2007,87.5,12.5,95,95,95.90000000000001,51.1
3100000US10780,10780,2008,86,14,44.8,98.09999999999999,98.59999999999999,96.7
3100000US10780,10780,2009,85.8,14.2,44.2,91.40000000000001,99.3,94.2
310M100US10780,10780,2010,83.59999999999999,16.4,99.2,96,93.3,43
310M100US10780,10780,2011,87.59999999999999,12.4,98.8,100,90.8,69.09999999999999
310M100US10780,10780,2012,88.8,11.2,94,97.5,98.5,50.1
310M200US10780,10780,2013,84,16,98.59999999999999,96.2,99.40000000000001,56.2
310M200US10780,10780,2014,87,13,97.59999999999999,97.7,93.09999999999999,64.7
