GEOID,MSA,year,pct_nativeborn,pct_foreignborn,pct_foreign_citizen,pct_foreign_noncitizen
310M300US11540,11540,2016,96.44564953740601,3.554350462593991,1.573166083370872,1.981184379223119
310M200US11640,11640,2013,,,,
310M200US11640,11640,2014,,,,
310M200US11640,11640,2015,,,,
310M300US11640,11640,2016,,,,
3100000US11700,11700,2006,94.7333631085306,5.266636891469406,1.259490844126842,4.007146047342563
3100000US11700,11700,2007,94.53783946466395,5.462160535336058,1.711584424480997,3.750576110855062
3100000US11700,11700,2008,95.18633424845062,4.813665751549375,1.554211399534257,3.259454352015118
3100000US11700,11700,2009,94.86860168660522,5.131398313394783,1.270592272994705,3.860806040400079
310M100US11700,11700,2010,94.21293028575258,5.787069714247433,2.20457519936643,3.582494514881002
310M100US11700,11700,2011,94.63561725348704,5.364382746512962,2.226462052859878,3.137920693653084
310M100US11700,11700,2012,94.84631681230307,5.153683187696936,2.05619439364105,3.097488794055886
310M200US11700,11700,2013,93.92485053934799,6.075149460652008,2.072874158276297,4.00227530237571
310M200US11700,11700,2014,94.7959165088154,5.204083491184614,2.107997595803584,3.096085895381029
310M200US11700,11700,2015,93.6858596667073,6.314140333292699,2.450708167973741,3.863432165318958
310M300US11700,11700,2016,94.99574475669365,5.004255243306346,2.035610371208712,2.968644872097634
3100000US11780,11780,2006,,,,
3100000US11780,11780,2007,,,,
3100000US11780,11780,2008,,,,
3100000US11780,11780,2009,,,,
310M100US11780,11780,2010,,,,
310M100US11780,11780,2011,,,,
310M100US11780,11780,2012,,,,
310M200US11780,11780,2013,,,,
310M200US11780,11780,2014,,,,
310M200US11780,11780,2015,,,,
310M300US11780,11780,2016,,,,
310M200US11900,11900,2015,93.59151047409041,6.408489525909592,.6599901996814896,5.748499326228102
310M300US11900,11900,2016,,,,
3100000US11980,11980,2006,,,,
3100000US11980,11980,2007,,,,
3100000US11980,11980,2008,,,,
3100000US11980,11980,2009,,,,
310M100US11980,11980,2010,,,,
310M100US11980,11980,2011,,,,
