GEOID,MSA,year,income10lo,income10_15,income15_25,income25_35,income35_50,income50_75,income75_100,income100_150,income150_200,income200up,income_median,income_mean
310M200US10420,10420,2014,8,4.9,11.1,11.1,14.3,18.8,11.8,11.8,4.6,3.6,50538,67821
310M200US10420,10420,2015,7.5,5.3,11.1,10.6,13.7,18.1,11.4,13.6,4.8,3.8,51580,70288
310M300US10420,10420,2016,6.9,5.9,11.3,10.5,13.7,18.7,12.9,11.7,4.3,4.2,51598,70083
310M100US10460,10460,2011,8.300000000000001,10.7,16.7,13.4,15.6,17.2,8.800000000000001,6.6,.9,1.7,35308,49484
310M100US10460,10460,2012,8.5,7.6,16.5,12.1,15,18.8,8.9,8,3.1,1.6,40583,51886
310M200US10460,10460,2013,12.1,5.6,14,8,18.1,20.8,11.4,7.5,1.9,.6,44102,50974
310M200US10460,10460,2014,6.1,9.4,14.2,8.1,22.9,18.3,12.7,7.3,.3,.7,42603,49371
310M200US10460,10460,2015,13.3,8.4,14.9,11.9,12.3,18.1,12.1,6.5,2,.4,36142,47559
310M300US10460,10460,2016,7.8,5.3,16,12,16,18.8,12.4,6.7,1.6,3.4,43646,66808
3100000US10500,10500,2006,12.6,8.5,16.4,11.8,14.6,16.3,7.8,8.199999999999999,2.5,1.1,35515,49529
3100000US10500,10500,2007,12.4,7.9,14,14.2,15.9,16.1,9.4,6.3,1.8,2,36402,51200
3100000US10500,10500,2008,11.5,9.300000000000001,14.9,10.9,14.5,16.4,9.6,7.5,2.8,2.6,38989,55456
3100000US10500,10500,2009,12.7,7.9,14.7,13.3,15.8,16,12,4.8,1.3,1.5,36218,47306
310M100US10500,10500,2010,15.3,9.1,14.3,12.1,13.1,17.5,8.199999999999999,6.8,2.1,1.5,34002,47826
310M100US10500,10500,2011,16.4,8.5,15.1,12.5,13.8,15.5,8.800000000000001,7.2,1,1.3,32775,45215
310M100US10500,10500,2012,14.9,8.300000000000001,14.2,13.1,13.5,14.9,8.699999999999999,7.6,2.2,2.6,34469,54220
310M200US10500,10500,2013,15.3,7.3,12.9,14.7,13.7,16.4,7.7,7.5,2.7,1.8,34756,49937
310M200US10500,10500,2014,14.1,8.4,12.2,11.4,14.1,17,11.5,7.3,2.8,1.3,39071,51306
310M200US10500,10500,2015,15.3,5.9,12.8,10,14.6,17.7,8.800000000000001,9.5,3.5,2,40143,56072
310M300US10500,10500,2016,9.800000000000001,5.6,17,11.9,14.2,18.3,8.1,9.4,3.2,2.4,40667,57901
3100000US10540,10540,2006,8.199999999999999,8.1,11.9,14.7,16.5,19.7,10.6,6.9,1.8,1.6,40782,52195
3100000US10540,10540,2007,8.199999999999999,8,9.6,13.5,15.2,17.5,17,8.9,1.5,.6,44397,53257
3100000US10540,10540,2008,7.7,5.5,9.699999999999999,13.2,19.4,19.7,11.2,11.4,1.2,1.1,45571,56143
3100000US10540,10540,2009,6.8,6.2,13.2,9,17.2,22.2,13.3,9.1,1.6,1.4,47669,56497
310M100US10540,10540,2010,8,6.4,11.9,12.7,17.5,20.6,12.6,8.300000000000001,1.3,.6,42900,51287
310M100US10540,10540,2011,9.1,5.5,15.2,10.3,18.3,22.1,11.2,6.9,1,.5,42565,50011
310M100US10540,10540,2012,8.1,5.8,17.4,9.4,15.7,22.5,10.1,8.4,1.5,1.2,43489,52156
310M200US10540,10540,2013,7.8,6.4,12.4,12.8,15.4,21.3,13.4,7.7,1.8,.8,45130,53222
310M200US10540,10540,2014,7.9,6.6,10.7,15.1,16,17.7,14.1,8,2.6,1.4,43428,55665
310M200US10540,10540,2015,7.4,7.7,10.3,11.5,15.5,23,10,10.2,2.6,1.7,47527,58294
310M300US10540,10540,2016,5.3,4.5,10.7,13.1,15.3,19.2,13.8,12.1,3.7,2.3,51310,69891
3100000US10580,10580,2006,5.8,5,9.699999999999999,10.7,15.6,20.6,14.6,12.2,3.5,2.2,53202,64965
3100000US10580,10580,2007,5.9,5.2,10.3,9.6,14.2,19.2,14.1,14,4,3.4,55129,70200
