GEOID,MSA,year,pct16_manuf,pct16_info,pct16_finance,pct16_prof,pct16_edhealth
310M100US34580,34580,2012,12.19411521905773,1.069245435068892,5.220433594748118,10.66297148023665,22.10035969101952
310M200US34580,34580,2013,11.61127797694022,.67435326034299,4.102315667086523,6.39279139618254,23.98217227012886
310M200US34580,34580,2014,13.30522962157122,1.218043360012433,5.260704017406169,9.318905897894163,19.70821353640531
310M200US34580,34580,2015,12.55784295864456,1.109491710694116,2.417562397522317,10.42266350883585,20.16578611768993
310M300US34580,34580,2016,11.21366452775377,1.112357278126092,4.565261357995183,8.325212818768502,22.96420232032212
3100000US34620,34620,2006,,,,,
3100000US34620,34620,2007,,,,,
3100000US34620,34620,2008,,,,,
3100000US34620,34620,2009,,,,,
310M100US34620,34620,2010,,,,,
310M100US34620,34620,2011,,,,,
310M100US34620,34620,2012,,,,,
310M200US34620,34620,2013,,,,,
310M200US34620,34620,2014,,,,,
310M200US34620,34620,2015,,,,,
310M300US34620,34620,2016,,,,,
3100000US34740,34740,2006,27.00182840872611,2.051725822434994,4.38120228341731,4.718969391600486,22.95420603793599
3100000US34740,34740,2007,,,,,
3100000US34740,34740,2008,24.48570386959013,1.885318472996198,2.926930889016197,7.145461173897193,23.01182230092183
3100000US34740,34740,2009,,,,,
310M100US34740,34740,2010,20.90735335516276,1.056405849495503,2.695094306076185,6.191753218852326,23.15647548634673
310M100US34740,34740,2011,26.73350810222447,.8631130325468732,3.329807294301614,5.55274494473317,25.53618789188858
310M100US34740,34740,2012,23.80388988284181,.9320713337565648,4.478559473653835,5.175448721648294,23.50955156691868
310M200US34740,34740,2013,25.95957749054136,.4725804863640838,3.388233308485352,8.192801586520204,22.33224095978846
310M200US34740,34740,2014,24.25091458103478,1.000232274548516,3.935601881423843,8.935311538238198,21.83816270832124
310M200US34740,34740,2015,,,,,
310M300US34740,34740,2016,,,,,
3100000US34780,34780,2006,,,,,
3100000US34780,34780,2007,,,,,
3100000US34780,34780,2008,,,,,
3100000US34780,34780,2009,,,,,
310M100US34780,34780,2010,,,,,
310M100US34780,34780,2011,,,,,
310M100US34780,34780,2012,,,,,
310M200US34780,34780,2013,,,,,
310M200US34780,34780,2014,,,,,
310M200US34780,34780,2015,,,,,
310M300US34780,34780,2016,,,,,
3100000US34820,34820,2006,4.182819832687207,1.795551928177923,9.214105964769095,10.18499625926682,14.54805141807794
3100000US34820,34820,2007,4.980946972502736,1.677324839715892,7.932314428450327,8.645054031587698,13.20461223179674
3100000US34820,34820,2008,4.504817433734441,1.68630856386718,8.088326510358517,9.474424182276806,16.21221519249059
3100000US34820,34820,2009,2.732320155151848,2.839587749182621,7.415194240159272,10.53796843758313,17.00834970951935
310M100US34820,34820,2010,3.47610702972299,1.63274246815394,6.446721035249714,8.373491945811148,19.31067601267102
310M100US34820,34820,2011,3.820096646277834,.8998378525903451,6.245886111512466,9.636532935189198,15.69619033858306
310M100US34820,34820,2012,4.190586456976538,1.938508048305916,6.203868975830962,8.409313843729397,17.2302892887581
310M200US34820,34820,2013,4.795831622532833,1.822797693744542,6.246783213143575,7.653784097940679,18.91383926764245
310M200US34820,34820,2014,3.943455212722577,1.409270082914231,6.441212450727199,10.31616147886367,17.17221693625119
310M200US34820,34820,2015,5.794751209492149,1.874104705532582,6.520716776129085,10.44460661098949,18.41779507554258
310M300US34820,34820,2016,4.270382560555082,1.815213466801321,7.186026676155242,10.2978959431104,16.54832109760501
310M100US34860,34860,2011,,,,,
310M100US34860,34860,2012,,,,,
310M200US34860,34860,2013,,,,,
310M200US34860,34860,2014,,,,,
310M200US34860,34860,2015,,,,,
310M300US34860,34860,2016,,,,,
3100000US34900,34900,2006,,,,,
3100000US34900,34900,2007,,,,,
3100000US34900,34900,2008,,,,,
3100000US34900,34900,2009,,,,,
310M100US34900,34900,2010,12.11606263697869,1.912143061334689,6.127116221452847,9.135088778070704,20.61906425690055
310M100US34900,34900,2011,,,,,
310M100US34900,34900,2012,10.3345769110718,.5603531562597541,5.335988941571665,8.157077245500082,22.14063823778594
310M200US34900,34900,2013,11.40657702342384,1.608417672525015,5.820120989707274,10.22821755210872,21.27354568651624
310M200US34900,34900,2014,12.66180413411364,1.706691267621876,5.761524490443105,9.803384553290858,20.53362931357569
310M200US34900,34900,2015,12.68440333234325,.8062120762082573,4.640669863226829,7.22479172854698,21.95725661588945
310M300US34900,34900,2016,13.35139895671025,.9484452272881241,6.217735925750288,10.98164081024321,20.59345572793171
3100000US34940,34940,2006,2.645808366147349,1.261199566284312,9.070935342121784,10.9035267933573,13.85892826570793
3100000US34940,34940,2007,3.475981368621381,.7471804859264964,8.410778948615606,13.95724261520575,15.93960352781748
3100000US34940,34940,2008,3.685200900269343,1.509795963546471,7.02652842858724,10.27118769139948,16.05652510792163
3100000US34940,34940,2009,3.534556348349896,2.109137178475365,9.42306763090502,13.14526390387682,17.11630454040298
310M100US34940,34940,2010,4.065527111599851,1.381050180312758,6.91010236589744,12.55235538593399,16.97203939389039
310M100US34940,34940,2011,3.445826458205388,.8213157330057936,9.492486070929122,12.68747826473004,18.28426403451006
310M100US34940,34940,2012,3.634715846712693,.8326026569603372,8.258976267140195,11.98874144371827,17.7381206758081
310M200US34940,34940,2013,2.472697448884157,2.273414005956921,8.72962200894977,12.98795666124692,16.65923250694254
310M200US34940,34940,2014,2.849740932642487,1.466666666666667,6.089119170984456,13.7720207253886,16.81519861830743
310M200US34940,34940,2015,4.625629001238243,1.723002344758542,7.556577179439892,12.65049924915035,14.18908238269621
310M300US34940,34940,2016,2.595242699671243,.7780571133887707,8.014568426481015,16.51904853993425,14.7837297750274
3100000US34980,34980,2006,11.8114482169643,3.076790426242431,7.54916076336045,10.28940799054011,19.32639352698368
3100000US34980,34980,2007,12.65601867854511,2.975914850878166,7.0429332620279,9.861280497746705,20.75327233240506
3100000US34980,34980,2008,11.01740719125073,3.188484863863585,7.305184095003679,9.455708086985206,20.96576924052881
3100000US34980,34980,2009,9.039007629927148,3.054044561262988,7.02479499512032,10.39481989250447,23.01420356236076
310M100US34980,34980,2010,9.692463515192056,2.894643500167909,7.022103299783,9.937246534937886,23.92480912993461
310M100US34980,34980,2011,9.321093811115857,2.867772378742935,6.735456269741423,10.11094311263977,23.15852515296197
